career_name,industry,education,required_skills,salary_range,description,future_demand
Voice Artist,Entertainment,Voice Training (Optional),"voice modulation, communication, acting, pronunciation, creativity, storytelling","$30,000 - $120,000","Records voiceovers for advertisements, films, animation, and audiobooks.",Medium
Travel Consultant,Tourism,Bachelor's in Tourism or Related Field,"communication, customer service, travel planning, sales, organization, problem solving","$35,000 - $80,000","Helps clients plan vacations, business trips, and travel itineraries.",Medium
Doctor,Healthcare,MBBS Degree,"diagnosis, patient care, anatomy, surgery, communication, critical thinking, empathy","$80,000 - $250,000",Diagnoses and treats patients in hospitals and clinics.,Very High
Nurse,Healthcare,Nursing Degree,"patient care, communication, first aid, teamwork, empathy, medication administration","$45,000 - $90,000",Provides medical care and assists doctors in treating patients.,Very High
Pharmacist,Healthcare,Bachelor's in Pharmacy,"pharmacology, communication, customer service, medicine management, attention to detail","$50,000 - $120,000",Dispenses medicines and advises patients on proper usage.,High
Architect,Architecture,Bachelor's in Architecture,"autocad, creativity, sketching, construction, communication, design thinking","$60,000 - $140,000",Designs buildings and supervises construction projects.,High
Civil Engineer,Engineering,Bachelor's in Civil Engineering,"autocad, construction, surveying, project management, mathematics, communication","$60,000 - $130,000",Plans and manages infrastructure projects like roads and bridges.,High
Mechanical Engineer,Engineering,Bachelor's in Mechanical Engineering,"cad, mechanics, problem solving, manufacturing, teamwork, mathematics","$65,000 - $135,000",Designs and develops mechanical systems and machines.,High
Electrical Engineer,Engineering,Bachelor's in Electrical Engineering,"electrical systems, circuit design, troubleshooting, mathematics, communication","$65,000 - $140,000",Designs electrical systems for industries and buildings.,High
Pilot,Aviation,Commercial Pilot License,"aviation, navigation, communication, decision making, leadership, teamwork","$90,000 - $250,000",Operates commercial and private aircraft safely.,Very High
Cabin Crew,Aviation,Any Bachelor's Degree,"customer service, communication, teamwork, first aid, problem solving","$40,000 - $100,000",Ensures passenger comfort and safety during flights.,High
Police Officer,Government,Bachelor's Degree,"leadership, communication, law enforcement, fitness, decision making, teamwork","$45,000 - $100,000",Protects citizens and maintains public safety.,High
Firefighter,Government,Fire Safety Training,"fire safety, teamwork, fitness, communication, emergency response","$40,000 - $90,000",Responds to fires and emergency rescue situations.,Medium
IAS Officer,Government,UPSC Qualification,"leadership, public administration, communication, decision making, policy analysis","$60,000 - $150,000",Manages government administration and public services.,Very High
IPS Officer,Government,UPSC Qualification,"leadership, communication, law enforcement, public administration, strategy","$60,000 - $150,000",Leads police departments and maintains law and order.,Very High
Entrepreneur,Business,Any,"leadership, communication, business planning, finance, marketing, negotiation",Variable,Starts and manages businesses across various industries.,Very High
Sales Manager,Sales,Bachelor's in Business,"sales, communication, negotiation, leadership, customer relationship management","$60,000 - $140,000",Leads sales teams and drives business revenue.,High
Real Estate Agent,Real Estate,Any,"communication, negotiation, sales, networking, customer service",Variable,"Helps clients buy, sell, and rent properties.",High
Animator,Media,Bachelor's in Animation,"animation, creativity, blender, adobe animate, storytelling, design","$45,000 - $110,000","Creates animations for films, games, and advertisements.",High
VFX Artist,Media,Bachelor's in Animation,"vfx, after effects, blender, creativity, video editing, compositing","$50,000 - $120,000",Creates visual effects for movies and digital media.,High
Radio Jockey,Media,Any,"communication, public speaking, creativity, storytelling, voice modulation","$35,000 - $90,000",Hosts radio shows and entertains audiences.,Medium
News Anchor,Media,Bachelor's in Journalism,"public speaking, communication, reporting, confidence, presentation","$45,000 - $120,000",Presents news on television and digital media platforms.,High
Translator,Language,Bachelor's in Languages,"translation, communication, writing, proofreading, language proficiency","$35,000 - $80,000",Converts written or spoken content between languages.,Medium
Interpreter,Language,Bachelor's in Languages,"communication, active listening, translation, public speaking, language proficiency","$40,000 - $90,000",Provides real-time language interpretation services.,Medium
Librarian,Education,Bachelor's in Library Science,"organization, research, communication, cataloging, information management","$35,000 - $70,000",Manages libraries and organizes information resources.,Medium
Nutritionist,Healthcare,Degree in Nutrition,"nutrition, counseling, communication, diet planning, health education","$45,000 - $100,000",Advises clients on healthy eating and nutrition plans.,High
Veterinarian,Healthcare,Doctor of Veterinary Medicine,"animal care, diagnosis, surgery, communication, empathy","$60,000 - $150,000",Provides medical care for animals.,High
Social Worker,Social Services,Bachelor's in Social Work,"communication, counseling, empathy, problem solving, case management","$35,000 - $80,000",Supports individuals and communities facing social challenges.,High
Tour Guide,Tourism,Any,"communication, storytelling, customer service, history, public speaking","$30,000 - $70,000",Guides tourists and shares information about destinations.,Medium
Hotel Manager,Hospitality,Bachelor's in Hotel Management,"leadership, customer service, communication, operations management, budgeting","$50,000 - $130,000",Oversees hotel operations and guest satisfaction.,High
Makeup Artist,Beauty,Professional Certification,"makeup, creativity, communication, beauty techniques, customer service","$30,000 - $100,000",Provides professional makeup services for clients and events.,High
Tattoo Artist,Art,Professional Training,"drawing, creativity, hygiene, communication, attention to detail",Variable,Creates permanent artistic tattoos for clients.,High
